,rank,song,artist,peak-rank,weeks-on-board
271383,97,That's How Heartaches Are Made,The Marvelettes,97,1
271384,98,Why Is The Wine Sweeter (On The Other Side),Eddie Floyd,98,2
271409,23,Easy To Be Hard,Three Dog Night,4,13
271411,25,Everybody's Talkin',Nilsson,6,12
271413,27,This Girl Is A Woman Now,Gary Puckett And The Union Gap,9,11
271415,29,"You, I",The Rugbys,24,11
271425,39,What's The Use Of Breaking Up,Jerry Butler,20,10
271429,43,When I Die,Motherlode,18,13
271430,44,Make Believe,Wind,28,9
271432,46,In A Moment,The Intrigues,31,14
271451,65,"Since I Met You, Baby",Sonny James,65,7
271473,87,It's Hard To Get Along,Joe Simon,87,3
271475,89,Wonderful,Blackwell,89,2
271509,23,Green River,Creedence Clearwater Revival,2,13
271513,27,Honky Tonk Women,The Rolling Stones,1,15
271517,31,"Oh, What A Night",The Dells,10,11
271532,46,World (Part 1),James Brown,37,7
271533,47,Carry Me Back,The Rascals,26,8
271541,55,Sad Girl,The Intruders,47,9
271548,62,And That Reminds Me (My Heart Reminds Me),The 4 Seasons,45,7
271550,64,The Train,1910 Fruitgum Co.,57,10
271552,66,Chains Of Love,Bobby Bland,60,7
271555,69,Love Of The Common People,The Winstons,54,6
271556,70,Son Of A Lovin' Man,Buchanan Brothers,61,6
271558,72,Jack And Jill,Tommy Roe,53,13
271565,79,Eternity,Vikki Carr,79,4
271567,81,Don't Waste My Time,John Mayall,81,3
271569,83,Was It Good To You,The Isley Brothers,83,5
271614,28,Get Together,The Youngbloods,5,25
271615,29,Hurt So Bad,The Lettermen,12,21
271617,31,Your Good Thing (Is About To End),Lou Rawls,18,14
271623,37,By The Time I Get To Phoenix,Isaac Hayes,37,8
271625,39,Here I Go Again,Smokey Robinson & The Miracles,37,9
271635,49,You Got Yours And I'll Get Mine,The Delfonics,40,10
271652,66,We Gotta All Get Together,Paul Revere & The Raiders Featuring Mark Lindsay,50,7
271660,74,Get Off My Back Woman,B.B. King,74,8
271668,82,Good Clean Fun,The Monkees,82,5
271674,88,Hold Me,The Baskerville Hounds,88,2
271675,89,I Can't Be All Bad,Johnny Adams,89,2
271677,91,Love In The City,The Turtles,91,2
271708,22,A Boy Named Sue,Johnny Cash,2,12
271709,23,Keem-O-Sabe,The Electric Indian,16,11
271714,28,Lay Lady Lay,Bob Dylan,7,14
271715,29,I'd Wait A Million Years,The Grass Roots,15,15
271720,34,What Kind Of Fool Do You Think I Am,Bill Deal & The Rhondels,23,9
271728,42,Daddy's Little Man,O.C. Smith,34,7
271729,43,Move Over,Steppenwolf,31,9
271731,45,It's Getting Better,Mama Cass,30,19
271746,60,Máh-Ná-Mah-Ná,Piero Umiliani,55,6
271749,63,Muddy Mississippi Line,Bobby Goldsboro,53,9
271751,65,No One For Me To Turn To,Spiral Starecase,52,7
271756,70,The Weight,Supremes & Temptations,46,5
271761,75,Runnin' Blue,The Doors,64,6
271762,76,Life And Death In G & A,Abaco Dream,74,6
271765,79,San Francisco Is A Lonely Town,Joe Simon,79,3
271767,81,The Ways To Love A Man,Tammy Wynette,81,4
271781,95,All God's Children Got Soul,Dorothy Morrison,95,1
271817,31,Share Your Love With Me,Aretha Franklin,13,10
271818,32,Soul Deep,The Box Tops,18,14
271833,47,Nobody But You Babe,Clarence Reid,40,10
271840,54,I'm A Better Man,Engelbert Humperdinck,38,7
271854,68,I Want You To Know,The New Colony Six,65,6
271859,73,Don't Forget To Remember,Bee Gees,73,3
271861,75,Love's Been Good To Me,Frank Sinatra,75,4
271866,80,Can't Find The Time,Orpheus,80,7
271867,81,Lodi,Al Wilson,67,7
271873,87,My Balloon's Going Up,Archie Bell & The Drells,87,4
271874,88,Slum Baby,Booker T. & The MG's,88,4
271877,91,Goodbye Columbus,The Association,80,11
271910,24,Put A Little Love In Your Heart,Jackie DeShannon,4,14
271913,27,Sweet Caroline (Good Times Never Seemed So Good),Neil Diamond,4,14
271921,35,The Nitty Gritty,Gladys Knight And The Pips,19,11
271922,36,Did You See Her Eyes,The Illusion,32,13
271933,47,Lowdown Popcorn,James Brown,41,6
271944,58,I Could Never Be President,Johnnie Taylor,48,8
271964,78,Hook And Sling-Part I,Eddie Bo,73,9
271973,87,Moonlight Sonata,Henry Mancini And His Orchestra,87,4
271984,98,Drummer Man,Nancy Sinatra,98,2
272012,26,Laughing,The Guess Who,10,11
272015,29,Workin' On A Groovy Thing,The 5th Dimension,20,10
272024,38,Birthday,Underground Sunshine,26,10
272025,39,Commotion,Creedence Clearwater Revival,30,8
272030,44,Polk Salad Annie,Tony Joe White,8,12
272035,49,Give Peace A Chance,Plastic Ono Band,14,9
272040,54,"Out Of Sight, Out Of Mind",Little Anthony And The Imperials,52,9
272052,66,I Do,The Moments,62,6
272055,69,Maybe The Rain Will Fall,The Cascades,61,6
272060,74,Armstrong,John Stewart,74,3
272063,77,Rain,Jose Feliciano,76,5
272065,79,Black Berries - Pt 1,The Isley Brothers,79,4
272077,91,All I Have To Offer You (Is Me),Charley Pride,91,5
272085,99,"Love Theme From ""Romeo And Juliet"" (A Time For Us)",Johnny Mathis,96,3
272107,21,Crystal Blue Persuasion,Tommy James And The Shondells,2,15
272125,39,In The Year 2525,Zager & Evans,1,13
272140,54,Goo Goo Barabajagal (Love Is Hot),Donovan/Jeff Beck Group,36,7
272142,56,Odds And Ends,Dionne Warwick,43,8
272143,57,Change Of Heart,Dennis Yost And The Classics IV,49,7
272149,63,Simple Song Of Freedom,Tim Hardin,50,7
272157,71,One Night Affair,The O'Jays,68,6
272172,86,Sausalito (Is The Place To Go),Ohio Express,86,2
272179,93,MacArthur Park,Waylon Jennings & The Kimberlys,93,2
272181,95,Luna Trip,Dickie Goodman,95,2
272211,25,"Baby, I Love You",Andy Kim,9,16
272217,31,Choice Of Colors,The Impressions,21,11
272219,33,Marrakesh Express,"Crosby, Stills & Nash",28,8
272237,51,True Grit,Glen Campbell,35,7
272238,52,I'm Free,The Who,37,8
272244,58,Your Husband - My Wife,Brooklyn Bridge,46,8
272245,59,Muddy River,Johnny Rivers,41,11
272263,77,Let Me Be The One,Peaches & Herb,74,4
272278,92,Green Fields,The Vogues,92,3
272307,21,My Cherie Amour,Stevie Wonder,4,14
272308,22,"Ruby, Don't Take Your Love To Town",Kenny Rogers & The First Edition,6,13
272312,26,What Does It Take (To Win Your Love),Jr. Walker & The All Stars,4,16
272327,41,Mother Popcorn (You Got To Have A Mother For Me) Part 1,James Brown,11,12
272340,54,Abergavenny,Shannon,47,8
272347,61,Everybody Knows Matilda,Duke Baxter,52,6
272356,70,Ease Back,The Meters,61,6
272358,72,The Young Folks,Diana Ross & The Supremes,69,5
272361,75,I Take A Lot Of Pride In What I Am,Dean Martin,75,4
272372,86,Farewell Love Scene,Romeo & Juliet Soundtrack,86,4
272373,87,Chelsea Morning,Judy Collins,78,4
272408,22,Quentin's Theme,The Charles Randolph Grean Sounde,13,11
272411,25,Spinning Wheel,"Blood, Sweat & Tears",2,13
272419,33,My Pledge Of Love,The Joe Jeffrey Group,14,12
272424,38,Clean Up Your Own Back Yard,Elvis Presley,35,8
272450,64,Let Yourself Go,The Friends Of Distinction,63,5
272457,71,Questions 67 And 68,Chicago,71,3
272475,89,Look At Mine,Petula Clark,89,3
272477,91,Who Do You Love,Quicksilver Messenger Service,91,3
272478,92,Oh How Happy,Blinky & Edwin Starr,92,2
272486,100,Memphis Train,Buddy Miles Express,100,1
272509,23,Good Morning Starshine,Oliver,3,13
272512,26,"Yesterday, When I Was Young",Roy Clark,19,10
272514,28,Color Him Father,The Winstons,7,13
272515,29,One,Three Dog Night,5,16
272519,33,Along Came Jones,Ray Stevens,27,8
272522,36,Good Old Rock 'N Roll,Cat Mother & the All Night News Boys,21,8
272524,38,Reconsider Me,Johnny Adams,28,8
272539,53,Moonflight,Vik Venus Alias: Your Main Moon Man,38,10
272541,55,On Campus,Dickie Goodman,45,8
272546,60,I've Lost Everything I've Ever Loved,David Ruffin,58,5
272548,62,While You're Out Looking For Sugar?,The Honey Cone,62,8
272553,67,Hey Joe,Wilson Pickett,59,6
272556,70,Where Do I Go/Be-In/Hare Krishna,The Happenings,66,6
272560,74,Till You Get Enough,The Watts 103rd Street Rhythm Band,67,5
272561,75,Nothing Can Take The Place Of You,Brook Benton,74,6
272567,81,First Hymn From Grand Terrace,Mark Lindsay,81,4
272580,94,Let Me Be The Man My Daddy Was,The Chi-lites,94,3
272608,22,Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,1,14
272615,29,The Ballad Of John And Yoko,The Beatles,8,9
272619,33,Doggone Right,Smokey Robinson & The Miracles,32,8
272633,47,"Abraham, Martin And John",Smokey Robinson & The Miracles,33,6
272641,55,I'd Rather Be An Old Man's Sweetheart (Than A Young Man's Fool),Candi Staton,46,8
272642,56,"Don't Wake Me Up In The Morning, Michael",Peppermint Rainbow,54,9
272643,57,Tell All The People,The Doors,57,9
272651,65,Break Away,The Beach Boys,63,6
272659,73,Don't Tell Your Mama (Where You've Been),Eddie Floyd,73,7
272669,83,Dynamite Woman,Sir Douglas Quintet,83,2
272670,84,By The Time I Get To Phoenix,The Mad Lads,84,2
272672,86,In My Room,Sagittarius,86,2
272678,92,Let's Call It A Day Girl,Bobby Vee,92,2
272679,93,The Hunter,Ike & Tina Turner,93,2
272682,96,You Made A Believer (Out Of Me),Ruby Andrews,96,2
272683,97,Big Bruce,Steve Greenberg,97,3
272708,22,Bad Moon Rising,Creedence Clearwater Revival,2,14
272709,23,Love Me Tonight,Tom Jones,13,11
272716,30,I Turned You On,The Isley Brothers,23,10
272717,31,Too Busy Thinking About My Baby,Marvin Gaye,4,15
272719,33,Moody Woman,Jerry Butler,24,10
272720,34,Black Pearl,"Sonny Charles And The Checkmates, Ltd.",13,13
272726,40,Let Me,Paul Revere & The Raiders Featuring Mark Lindsay,20,12
272733,47,"Abraham, Martin And John",Moms Mabley,35,6
272735,49,The Days Of Sand And Shovels,Bobby Vinton,34,8
272750,64,Girl You're Too Young,Archie Bell & The Drells,59,7
272780,94,That's The Way,Joe Tex,94,3
272812,26,In The Ghetto,Elvis Presley,3,13
272813,27,Get Back,The Beatles With Billy Preston,1,12
272822,36,I Can Sing A Rainbow/Love Is Blue,The Dells,22,10
272823,37,The Popcorn,James Brown,30,9
272827,41,With Pen In Hand,Vikki Carr,35,13
272831,45,But It's Alright,J.J. Jackson,22,23
272838,52,Mrs. Robinson,Booker T. & The MG's,37,8
272839,53,So I Can Love You,The Emotions,39,10
272851,65,The Feeling Is Right,Clarence Carter,65,6
272856,70,Memphis Underground,Herbie Mann,44,10
272857,71,(Sittin' On) The Dock Of The Bay,Sergio Mendes & Brasil '66,66,5
272859,73,The Girl I'll Never Know (Angels Never Fly This Low),Frankie Valli,52,7
272861,75,Listen To The Band,The Monkees,63,8
272864,78,Willie & Laura Mae Jones,Dusty Springfield,78,3
272865,79,Forever,Mercy,79,5
272868,82,Stay And Love Me All Summer,Brian Hyland,82,3
272869,83,"Theme From ""A Summer Place""",The Ventures,83,5
272883,97,Pass The Apple Eve,B.J. Thomas,97,3
272914,28,Israelites,Desmond Dekker And The Aces,9,10
272915,29,Grazing In The Grass,The Friends Of Distinction,3,16
272922,36,We Got More Soul,Dyke And The Blazers,35,10
272936,50,The Minotaur,Dick Hyman & His Electric Eclectics,38,8
272937,51,You Don't Have To Walk In The Rain,The Turtles,51,7
272943,57,Moments To Remember,The Vogues,47,5
272947,61,Why I Sing The Blues,B.B. King,61,10
272958,72,"Baby, Don't Be Looking In My Mind",Joe Simon,72,5
272967,81,I'm Still A Struggling Man,Edwin Starr,80,4
272977,91,Never Comes The Day,The Moody Blues,91,4
272978,92,Wake Up,The Chambers Brothers,92,2
272982,96,In The Time Of Our Lives,Iron Butterfly,96,2
273013,27,Medicine Man (Part I),Buchanan Brothers,22,11
273014,28,More Today Than Yesterday,Spiral Starecase,12,15
273025,39,Everyday With You Girl,Classics IV Featuring Dennis Yost,19,11
273036,50,See,The Rascals,27,8
273044,58,Don't Let The Joneses Get You Down,The Temptations,20,8
273049,63,Didn't We,Richard Harris,63,6
273061,75,The Prophecy Of Daniel and John The Divine (Six-Six-Six),The Cowsills,75,4
273063,77,Hushabye,Jay & The Americans,62,7
273079,93,I'll Never Fall In Love Again,Burt Bacharach,93,2
273081,95,Everything I Do Gonh Be Funky (From Now On),Lee Dorsey,95,3
273082,96,Birds Of A Feather,Joe South,96,1
273085,99,My Little Chickadee,The Foundations,99,2
273109,23,Love (Can Make You Happy),Mercy,2,13
273111,25,These Eyes,The Guess Who,6,14
273125,39,No Matter What Sign You Are,Diana Ross & The Supremes,31,6
273140,54,Welcome Me Love,The Brooklyn Bridge Featuring Johnny Maestro,48,9
273142,56,Special Delivery,1910 Fruitgum Co.,38,9
273144,58,"Friend, Lover, Woman, Wife",O.C. Smith,47,9
273146,60,Tomorrow Tomorrow,Bee Gees,54,6
273147,61,Testify (I Wonna),Johnnie Taylor,36,9
273168,82,It's My Thing (You Can't Tell Me Who To Sock It To),Marva Whitney,82,4
273170,84,Without Her,Herb Alpert,63,6
273212,26,Aquarius/Let The Sunshine In (The Flesh Failures),The 5th Dimension,1,17
273215,29,Oh Happy Day,The Edwin Hawkins' Singers Featuring Dorothy Combs Morrison,4,10
273216,30,Atlantis,Donovan,7,13
273219,33,Gitarzan,Ray Stevens,8,13
273225,39,Day Is Done,"Peter, Paul & Mary",21,10
273230,44,The April Fools,Dionne Warwick,37,7
273261,75,I Can't Quit Her,The Arbors,67,5
273272,86,Dammit Isn't God's Last Name,Frankie Laine,86,3
273277,91,Gotta Get To Know You,Bobby Bland,91,3
273285,99,"Pinch Me (Baby, Convince Me)",Ohio Express,99,2
273309,23,Hair,The Cowsills,2,15
273316,30,Morning Girl,The Neon Philharmonic,17,12
273328,42,Happy Heart,Andy Williams,22,11
273331,45,The Windmills Of Your Mind,Dusty Springfield,31,8
273332,46,Cissy Strut,The Meters,23,11
273335,49,Where's The Playground Susie,Glen Campbell,26,8
273339,53,The River Is Wide,The Grass Roots,31,11
273341,55,I've Been Hurt,Bill Deal & The Rhondels,35,10
273347,61,What Is A Man,Four Tops,53,7
273350,64,I Could Never Lie To You,The New Colony Six,50,8
273351,65,I'm A Drifter,Bobby Goldsboro,46,10
273359,73,Truck Stop,Jerry Smith and his Pianos,71,7
273360,74,Love Man,Otis Redding,72,5
273365,79,Rhythm Of The Rain,Gary Lewis And The Playboys,63,12
273366,80,Sincerely,Paul Anka,80,4
273378,92,Son Of A Travelin' Man,Ed Ames,92,4
273380,94,Funny Feeling,The Delfonics,94,2
273383,97,And She's Mine,Spanky And Our Gang,97,1
273409,23,Goodbye,Mary Hopkin,13,9
273413,27,The Boxer,Simon & Garfunkel,7,10
273414,28,It's Your Thing,The Isley Brothers,2,14
273437,51,Pinball Wizard,The Who,19,11
273441,55,Heather Honey,Tommy Roe,29,8
273444,58,Seattle,Perry Como,38,10
273446,60,Proud Mary,Solomon Burke,45,7
273454,68,In-A-Gadda-Da-Vida,Iron Butterfly,30,17
273472,86,I Threw It All Away,Bob Dylan,85,5
273477,91,Brown Arms In Houston,Orpheus,91,3
273485,99,Galveston,Roger Williams,99,2
273507,21,Time Is Tight,Booker T. & The MG's,6,13
273514,28,The Chokin' Kind,Joe Simon,13,12
273518,32,Hawaii Five-O,The Ventures,4,14
273542,56,I Can't See Myself Leaving You,Aretha Franklin,28,8
273543,57,Nothing But A Heartache,The Flirtations,34,14
273556,70,It's Never Too Late,Steppenwolf,51,5
273563,77,I've Been Loving You Too Long,Ike & Tina Turner,68,7
273564,78,Sorry Suzanne,The Hollies,56,8
273566,80,Pretty World,Sergio Mendes & Brasil '66,62,6
273578,92,Let's Dance,Ola & The Janglers,92,3
273579,93,I Need You Now,Ronnie Dove,93,2
273580,94,Running Bear,Sonny James,94,2
273581,95,Too Experienced,Eddie Lovette,95,3
273619,33,Stand!,Sly & The Family Stone,22,8
273628,42,Don't Let Me Down,The Beatles With Billy Preston,35,4
273644,58,Buying A Book,Joe Tex,47,8
273650,64,Born To Be Wild,Wilson Pickett,64,4
273670,84,You Don't Need Me For Anything Anymore,Brenda Lee,84,3
273672,86,Never Gonna Let Him Know,Debbie Taylor,86,6
273673,87,Good Morning Starshine,Strawberry Alarm Clock,87,2
273684,98,Here We Go Again,Nancy Sinatra,98,2
273685,99,Sausalito,Al Martino,99,3
273708,22,You've Made Me So Very Happy,"Blood, Sweat & Tears",2,13
273712,26,Gimme Gimme Good Lovin',Crazy Elephant,12,13
273713,27,Sweet Cherry Wine,Tommy James And The Shondells,7,10
273717,31,The Composer,Diana Ross & The Supremes,27,6
273723,37,Do Your Thing,The Watts 103rd Street Rhythm Band,11,17
273724,38,"I Don't Want Nobody To Give Me Nothing (Open Up The Door, I'll Get It Mysel",James Brown,20,8
273725,39,Only The Strong Survive,Jerry Butler,4,13
273737,51,Earth Angel (Will You Be Mine),The Vogues,42,6
273738,52,Lodi,Creedence Clearwater Revival,52,4
273753,67,I Shall Be Released,The Box Tops,67,5
273754,68,(We've Got) Honey Love,Martha Reeves & The Vandellas,56,6
273756,70,Marley Purt Drive,Jose Feliciano,70,4
273762,76,Gentle On My Mind,Aretha Franklin,76,3
273767,81,I Want To Love You Baby,Peggy Scott & Jo Jo Benson,81,4
273776,90,Sunday,The Moments,90,3
273777,91,"My Wife, My Dog, My Cat",The Maskman & The Agents,91,2
273780,94,Let Me Love You,Ray Charles,94,2
273814,28,Twenty-Five Miles,Edwin Starr,6,14
273817,31,Galveston,Glen Campbell,4,12
273818,32,My Way,Frank Sinatra,27,8
273825,39,Mercy,Ohio Express,30,8
273827,41,Brother Love's Travelling Salvation Show,Neil Diamond,22,13
273830,44,Will You Be Staying After Sunday,The Peppermint Rainbow,32,14
273835,49,To Know You Is To Love You,Bobby Vinton,34,7
273837,51,"In The Bad, Bad Old Days (Before You Loved Me)",The Foundations,51,7
273855,69,Love Is All I Have To Give,"The Checkmates, Ltd.",65,7
273864,78,I Can't Say No To You,Betty Everett,78,4
273866,80,"Mr. Walker, It's All Over",Billie Jo Spears,80,4
273867,81,Someday Man,The Monkees,81,2
273870,84,Seven Years,The Impressions,84,4
273875,89,Love Is Just A Four-Letter Word,Joan Baez,86,4
273883,97,Just A Little Bit,Little Milton,97,2
273884,98,I'm Gonna Do All I Can (To Do Right By My Man),Ike & Tina Turner,98,2
273908,22,Dizzy,Tommy Roe,1,15
273912,26,Don't Give In To Him,Gary Puckett And The Union Gap,15,9
273923,37,I Can Hear Music,The Beach Boys,24,10
273935,49,Don't Touch Me,Bettye Swann,38,10
273941,55,The Way It Used To Be,Engelbert Humperdinck,42,11
273942,56,It's Only Love,B.J. Thomas,45,8
273943,57,Foolish Fool,Dee Dee Warwick,57,8
273948,62,Happy Heart,Petula Clark,62,5
273956,70,Where Do You Go To (My Lovely),Peter Sarstedt,70,6
273973,87,Singing My Song,Tammy Wynette,75,5
273982,96,Turn Around And Love You,Rita Coolidge,96,1
273983,97,Ivory,Bob Seger System,97,1
274009,23,Time Of The Season,The Zombies,3,13
274010,24,Rock Me,Steppenwolf,10,10
274012,26,"Run Away Child, Running Wild",The Temptations,6,12
274025,39,"Mr. Sun, Mr. Moon",Paul Revere & The Raiders Featuring Mark Lindsay,18,12
274027,41,Memories,Elvis Presley,35,7
274032,46,First Of May,Bee Gees,37,7
274035,49,Wishful Sinful,The Doors,44,6
274042,56,Hot Smoke & Sasafrass,The Bubble Puppy,14,12
274043,57,Is It Something You've Got,Tyrone Davis,34,7
274044,58,Snatching It Back,Clarence Carter,31,10
274046,60,Badge,Cream,60,5
274047,61,Mini-Skirt Minnie,Wilson Pickett,50,6
274050,64,Ice Cream Song,The Dynamics,59,7
274059,73,When You Dance,Jay & The Americans,70,5
274068,82,Back In The U.S.S.R.,Chubby Checker,82,5
274072,86,Any Day Now,Percy Sledge,86,4
274076,90,Greensleeves,Mason Williams,90,2
274077,91,From Both Sides Now,Dion,91,2
274078,92,A Million To One,Brian Hyland,90,5
274106,20,Traces,Classics IV Featuring Dennis Yost,2,12
274109,23,Proud Mary,Creedence Clearwater Revival,2,14
274115,29,I'll Try Something New,Supremes & Temptations,25,7
274129,43,Mendocino,Sir Douglas Quintet,27,15
274135,49,The Letter,The Arbors,20,10
274139,53,Apricot Brandy,Rhinoceros,46,10
274140,54,Try A Little Tenderness,Three Dog Night,29,12
274147,61,I Like What You're Doing (To Me),Carla Thomas,49,11
274151,65,Playgirl,Thee Prophets,49,8
274163,77,In The Still Of The Night,Paul Anka,64,6
274166,80,Zazueira (Za-zoo-wher-a),Herb Alpert & The Tijuana Brass,78,5
274178,92,California Girl (And The Tennessee Square),Tompall & The Glaser Brothers,92,4
274183,97,Home To You,Earth Opera,97,1
274186,100,July You're A Woman,Pat Boone,100,2
274208,22,This Girl's In Love With You,Dionne Warwick,7,12
274209,23,My Whole World Ended (The Moment You Left Me),David Ruffin,9,10
274214,28,Indian Giver,1910 Fruitgum Co.,5,13
274229,43,You Gave Me A Mountain,Frankie Laine,24,11
274241,55,Johnny One Time,Brenda Lee,41,11
274249,63,Didn't You Know (You'd Have To Cry Sometime),Gladys Knight And The Pips,63,7
274257,71,"Move In A Little Closer, Baby",Mama Cass,58,6
274261,75,The Pledge Of Allegiance,Red Skelton,44,6
274266,80,Good Times Bad Times,Led Zeppelin,80,4
274268,82,Tracks Of My Tears,Aretha Franklin,71,6
274277,91,Breakfast In Bed,Dusty Springfield,91,2
274279,93,There Never Was A Time,Jeannie C. Riley,77,4
274283,97,It's A Groovy World!,The Unifics,97,2
274284,98,I Can't Do Enough,The Dells,98,2
274309,23,Build Me Up Buttercup,The Foundations,3,15
274324,38,Things I'd Like To Say,New Colony Six,16,16
274341,55,Blessed Is The Rain,The Brooklyn Bridge Featuring Johnny Maestro,45,6
274342,56,When He Touches Me (Nothing Else Matters),Peaches & Herb,49,7
274343,57,Day After Day (It's Slippin' Away),Shango,57,7
274353,67,Time Was,Canned Heat,67,5
274374,88,Give It Away,The Chi-lites,88,6
274380,94,I Love My Baby,Archie Bell & The Drells,94,3
274381,95,Idaho,The 4 Seasons,95,2
274408,22,Everyday People,Sly & The Family Stone,1,19
274409,23,"Baby, Baby Don't Cry",Smokey Robinson & The Miracles,8,14
274418,32,The Weight,Aretha Franklin,19,7
274421,35,I Got A Line On You,Spirit,25,12
274425,39,"No, Not Much",The Vogues,34,5
274426,40,"Sweet Cream Ladies, Forward March",The Box Tops,28,15
274443,57,A Lover's Question,Otis Redding,48,6
274452,66,Tear Drop City,The Monkees,56,7
274454,68,Shotgun,Vanilla Fudge,68,5
274460,74,Long Green,The Fireballs,73,7
274462,76,Don't Forget About Me,Dusty Springfield,64,6
274468,82,Kick Out The Jams,MC5,82,4
274478,92,Born Again,Sam & Dave,92,3
274504,18,Crimson And Clover,Tommy James And The Shondells,1,16
274508,22,Games People Play,Joe South,12,12
274511,25,This Magic Moment,Jay & The Americans,6,14
274516,30,I've Gotta Be Me,Sammy Davis Jr.,11,16
274526,40,But You Know I Love You,The First Edition,19,11
274531,45,Sophisticated Cissy,The Meters,34,8
274532,46,There'll Come A Time,Betty Everett,26,11
274533,47,I Don't Know Why,Stevie Wonder,39,7
274545,59,Lovin' Things,The Grass Roots,49,7
274551,65,These Are Not My People,Johnny Rivers,55,6
274552,66,Back Door Man,Derek,59,6
274576,90,Sing A Simple Song,Sly & The Family Stone,89,4
274577,91,The Wedding Cake,Connie Francis,91,4
274578,92,Hallways Of My Mind,The Dells,92,4
274581,95,One Eye Open,The Maskman & The Agents,95,1
274583,97,God Knows I Love You,Nancy Sinatra,97,3
274584,98,Something's On Her Mind,The 4 Seasons,98,1
274585,99,Only You (And You Alone),Bobby Hatfield,95,4
274617,31,Touch Me,The Doors,3,13
274618,32,You Showed Me,The Turtles,6,12
274621,35,Ramblin' Gamblin' Man,Bob Seger System,17,14
274622,36,Give It Up Or Turnit A Loose,James Brown,15,9
274627,41,May I,Bill Deal & The Rhondels,39,10
274633,47,Cloud Nine,Mongo Santamaria,32,8
274638,52,Let It Be Me,Glen Campbell & Bobbie Gentry,36,9
274648,62,Who's Making Love,Young-Holt Unlimited,57,4
274655,69,Maybe Tomorrow,The Iveys,67,6
274661,75,Soul Experience,Iron Butterfly,75,5
274708,22,Can I Change My Mind,Tyrone Davis,5,13
274715,29,I'm Livin' In Shame,Diana Ross & The Supremes,10,8
274720,34,Crossroads,Cream,28,8
274726,40,Take Care Of Your Homework,Johnnie Taylor,20,9
274730,44,Good Lovin' Ain't Easy To Come By,Marvin Gaye & Tammi Terrell,30,7
274732,46,Heaven,The Rascals,39,6
274736,50,To Susan On The West Coast Waiting,Donovan,35,6
274744,58,Honey (I Miss You),O.C. Smith,44,6
274745,59,Tragedy,Brian Hyland,56,10
274746,60,Kum Ba Yah,Tommy Leonetti,54,9
274754,68,Glad She's A Woman,Bobby Goldsboro,61,6
274808,22,Worst That Could Happen,Brooklyn Bridge,3,12
274813,27,Hang 'Em High,Booker T. & The MG's,9,18
274819,33,Goodnight My Love,Paul Anka,27,10
274832,46,Soulshake,Peggy Scott & Jo Jo Benson,37,6
274841,55,Someday Soon,Judy Collins,55,6
274844,58,Woman Helping Man,The Vogues,47,6
274858,72,Somebody Loves You,The Delfonics,72,3
274862,76,Witchi Tai To,Everything Is Everything,69,5
274865,79,Am I The Same Girl,Barbara Acklin,79,3
274871,85,No Not Much,The Smoke Ring,85,4
274880,94,I Do Love You,Billy Stewart,26,13
274914,28,I Heard It Through The Grapevine,Marvin Gaye,1,15
274917,31,I'm Gonna Make You Love Me,Diana Ross And The Supremes & The Temptations,2,13
274919,33,I Started A Joke,Bee Gees,6,11
274922,36,Hooked On A Feeling,B.J. Thomas,5,16
274934,48,Daddy Sang Bass,Johnny Cash,42,10
274938,52,I Forgot To Be Your Lover,William Bell,45,9
274945,59,Riot,Hugh Masekela,55,8
274946,60,Condition Red,The Goodees,46,11
274953,67,The Greatest Love,Dorsey Burnette,67,6
274960,74,30-60-90,Willie Mitchell,69,5
274962,76,Grits Ain't Groceries (All Around The World),Little Milton,73,5
274972,86,Anything You Choose,Spanky And Our Gang,86,3
274978,92,Only The Lonely,Sonny James,92,4
274979,93,Switch It On,Cliff Nobles & Co.,93,3
274982,96,Sweeter Than Sugar,Ohio Express,96,1
275018,32,There's Gonna Be A Showdown,Archie Bell & The Drells,21,11
275019,33,Soulful Strut,Young-Holt Unlimited,3,13
275020,34,Stand By Your Man,Tammy Wynette,19,16
275022,36,If I Can Dream,Elvis Presley,12,13
275030,44,Does Anybody Know I'm Here,The Dells,38,9
275034,48,A Minute Of Your Time,Tom Jones,48,10
275039,53,Home Cookin,Jr. Walker & The All Stars,42,6
275040,54,River Deep-Mountain High,Deep Purple,53,5
275057,71,Hey! Baby,Jose Feliciano,71,5
275062,76,Getting The Corners,The T.S.U. Toronadoes,75,6
275065,79,Long Line Rider,Bobby Darin,79,3
275071,85,Great Balls Of Fire,Tiny Tim,85,3
275079,93,My Special Prayer,Percy Sledge,93,4
275083,97,I Don't Want To Cry,Ruby Winters,97,2
275120,34,Son-Of-A Preacher Man,Dusty Springfield,10,12
275121,35,California Soul,The 5th Dimension,25,9
275123,37,Going Up The Country,Canned Heat,11,11
275127,41,Hey Jude,Wilson Pickett,23,9
275129,43,The Beginning Of My End,The Unifics,36,10
275130,44,Too Weak To Fight,Clarence Carter,13,15
275135,49,"Soul Sister, Brown Sugar",Sam & Dave,41,9
275149,63,Purple Haze,Dion,63,4
275152,66,Feelin' So Good (S.k.o.o.b.y-D.o.o),The Archies,53,8
275165,79,Almost Persuaded,Etta James,79,5
275177,91,Me About You,The Lovin' Spoonful,91,2
275178,92,The Carroll County Accident,Porter Wagoner,92,4
