,rank,song,artist,peak-rank,weeks-on-board
187699,100,Blue Kiss,Jane Wiedlin,77,9
187777,78,Don't Lose My Number,Phil Collins,4,18
187781,82,Que Te Quiero,Katrina And The Waves,71,6
187787,88,Four In The Morning (I Can't Take Anymore),Night Ranger,19,13
187788,89,All Of Me For All Of You,9.9,51,13
187794,95,Tonight It's You,Cheap Trick,44,17
187795,96,C-I-T-Y,John Cafferty & The Beaver Brown Band,18,15
187797,98,Weird Science,Oingo Boingo,45,12
187798,99,St. Elmo's Fire (Man In Motion),John Parr,1,22
187877,78,The Way You Do The Things You Do/My Girl,Daryl Hall John Oates,20,11
187883,84,Cry,Godley & Creme,16,17
187887,88,Welcome To Paradise,John Waite,85,4
187894,95,Shock,The Motels,84,3
187896,97,Eye To Eye,Go West,73,7
187897,98,Hold Me,Laura Branigan,82,4
187898,99,Communication,The Power Station,34,10
187899,100,Dare Me,The Pointer Sisters,11,18
187989,90,You Wear It Well,El DeBarge With DeBarge,46,10
187991,92,Remo's Theme (What If),Tommy Shaw,81,5
187992,93,Screams Of Passion,The Family,63,6
187993,94,The Power Of Love,Huey Lewis & The News,1,19
187996,97,Eaten Alive,Diana Ross,77,7
187997,98,Hard Times For Lovers,Jennifer Holliday,69,7
187998,99,We Don't Need Another Hero (Thunderdome),Tina Turner,2,18
187999,100,Lover Come Back To Me,Dead Or Alive,75,7
188089,90,Pop Life,Prince And The Revolution,7,14
188093,94,Every Step Of The Way,John Waite,25,12
188095,96,Freeway Of Love,Aretha Franklin,3,19
188096,97,I Got You Babe,UB40,28,14
