,category,nominee,artist,workers
3449,"Best R&B Instrumental Performance (Orchestra, Group Or Soloist)",Musician,Ernie Watts,
3450,Best Rhythm & Blues Song,Freeway Of Love,,"Jeffrey Cohen & Narada Michael Walden, songwriters (Aretha Franklin)"
3451,"Best Jazz Fusion Performance, Vocal Or Instrumental",Straight To The Heart,David Sanborn,
3452,"Best Jazz Vocal Performance, Female",Cleo At Carnegie - The 10th Anniversary Concert,Cleo Laine,
3453,"Best Jazz Vocal Performance, Male",Another Night In Tunisia,Bobby McFerrin & Jon Hendricks,
3454,"Best Jazz Vocal Performance, Duo Or Group",Vocalese,The Manhattan Transfer,
3455,"Best Jazz Instrumental Performance, Soloist",Black Codes From The Underground,,"Wynton Marsalis, soloist"
3456,"Best Jazz Instrumental Performance, Group",Black Codes From The Underground,Wynton Marsalis Group,
3457,"Best Jazz Instrumental Performance, Big Band",The Cotton Club - Original Motion Picture Soundtrack,John Barry & Bob Wilber,
3458,"Best Country Vocal Performance, Female",I Don't Know Why You Don't Want Me,Rosanne Cash,
3459,"Best Country Vocal Performance, Male",Lost In The Fifties Tonight (In The Still Of The Night),Ronnie Milsap,
3460,Best Country Performance By A Duo Or Group With Vocal,Why Not Me,The Judds,
3461,"Best Country Instrumental Performance (Orchestra, Group Or Soloist)",Cosmic Square Dance,Chet Atkins & Mark Knopfler,
3462,Best Country Song,Highwayman,,"Jimmy L. Webb, songwriter (Waylon Jennings, Willie Nelson, Johnny Cash & Kris Kristofferson)"
3463,"Best Gospel Performance, Female",Unguarded,Amy Grant,
3464,"Best Gospel Performance, Male",How Excellent Is Thy Name,Larnelle Harris,
3465,"Best Gospel Performance By A Duo Or Group, Choir Or Chorus",I've Just Seen Jesus,Sandi Patti & Larnelle Harris,
3466,"Best Soul Gospel Performance, Female",Martin,Shirley Caesar,
3467,"Best Soul Gospel Performance, Male",Bring Back The Days Of Yea And Nay,Marvin Winans,
3468,"Best Soul Gospel Performance By A Duo, Group, Choir Or Chorus",Tomorrow,The Winans,
3469,Best Inspirational Performance,Come Sunday,Jennifer Holliday,
3470,Best Latin Pop Performance,Es Facil Amar,Lani Hall,
3471,Best Tropical Latin Performance,Mambo Diablo,Tito Puente & His Latin Ensemble,
3472,Best Tropical Latin Performance,Solito,Eddie Palmieri,
3473,Best Mexican-American Performance,Simplemente Mujer,Vikki Carr,
3474,Best Traditional Blues Recording,My Guitar Sings The Blues,B.B. King,
3475,Best Ethnic Or Traditional Folk Recording,My Toot Toot,Rockin' Sidney,
3476,Best Polka Recording,70 Years Of Hits,Frank Yankovic,
3477,Best Reggae Recording,Cliff Hanger,Jimmy Cliff,
3478,Best Recording For Children,Follow That Bird - Original Motion Picture Soundtrack,(Jim Henson's Muppets & The Sesame Street Cast),
3479,Best Comedy Recording,Whoopi Goldberg - Original Broadway Show Recording,Whoopi Goldberg,
